,jobname,min-pairwise-TMscores,avg-pairwise-TMscores,number of clusters,cluster decay rate 1,cluster decay rate 2,cluster decay rate 3,Top 1 pLDDT,Top 2 pLDDT,Top 3 pLDDT,dataset
0,1ceeB,0.2226416806937223,0.47721132779264247,11,0.8508604206500956,0.449438202247191,0.845,0.7769254237000001,0.7188983051000001,0.7124830508000001,FS
1,1h38D,0.23525642419380335,0.6803353824191533,19,0.11337868480725624,0.24,0.6666666666666666,0.9232607022,0.8541275198,0.7993450736000001,FS
2,1k0nA,0.46946030177578063,0.6489708965223068,56,0.07586206896551724,0.6136363636363636,0.8518518518518519,0.928379668,0.7926319502,0.776780083,FS
3,1miqB,0.4270343908236496,0.6763242034135196,38,0.9129464285714286,0.06845965770171149,0.8928571428571429,0.8934957333,0.8854138667,0.8766936,FS
4,1mnmC,0.6219485835425758,0.6955492345789895,119,1.0,0.95,0.9473684210526315,0.8056183908000001,0.8028356322,0.8020758621,FS
5,1nqdA,0.7854804320737853,0.8532556241182349,6,0.05779334500875657,0.16666666666666666,0.5454545454545454,0.9420885246,0.8530901639,0.8472106557,FS
6,1qomB,0.27112400981738244,0.6319844738499977,45,0.10526315789473684,0.6666666666666666,0.8333333333333334,0.9460525,0.8523695455,0.8423604545000001,FS
7,1repC,0.47384905051689374,0.7129217656350371,38,0.5258620689655172,0.43169398907103823,0.7215189873417721,0.9107278884000001,0.8184203187,0.815101992,FS
8,1rkpA,0.7019616020550923,0.8124050379788252,13,0.05028571428571429,0.5681818181818182,0.64,0.9803972393,0.8021944785,0.7908328221,FS
9,1uxmK,0.5147626676401812,0.7217742936123269,19,0.015023474178403756,0.8125,1.0,0.9806718954,0.8062346405,0.8040934641,FS
10,1x0gA,0.7930259587773298,0.8686303384477603,4,0.010325655281969817,0.9230769230769231,0.8333333333333334,0.9265866071000001,0.8372473214,0.8022044643,FS
11,1xjtA,0.4968183349031158,0.7530258388855698,30,0.3074380165289256,0.3655913978494624,0.4411764705882353,0.9201738220000001,0.8374319372,0.8352020942,FS
12,1xntA,0.5940864219127991,0.7614307329842747,62,0.17894736842105263,0.7254901960784313,0.9459459459459459,0.8923065574,0.8830169399000001,0.8743158470000001,FS
13,2c1uC,0.38713060482032635,0.5837998896838995,61,0.04983388704318937,0.5333333333333333,0.875,0.9666357988000001,0.8128742604,0.7947097633,FS
14,2ce7C,0.3977350103827908,0.5737251281407114,42,0.175,0.38461538461538464,0.7142857142857143,0.9281048319,0.8152287815,0.8024168067,FS
15,2gedB,0.43668732605440036,0.7481680215956525,28,0.21839080459770116,0.44360902255639095,0.9322033898305084,0.8509870466,0.8042974093,0.743373057,FS
16,2hdmA,0.2798684869792548,0.6006979727478774,33,0.6666666666666666,0.8835616438356164,0.6201550387596899,0.7861239130000001,0.7772402174,0.773598913,FS
17,2k0qA,0.6382714436777606,0.7457552484046986,14,0.780952380952381,0.16666666666666666,0.47560975609756095,0.8612662162,0.8290945946,0.8123013514,FS
18,2kxoA,0.34851680608141944,0.5754399071476793,98,0.5875,0.574468085106383,0.8888888888888888,0.7738431579,0.7651694737,0.7578368421,FS
19,2lqwA,0.23656941035620635,0.3896750319368232,60,1.0,0.8,1.0,0.7514059406,0.7489600660000001,0.7456422442,FS
20,2lv1A,0.4125923518114492,0.666006225006235,20,0.7115384615384616,0.6648648648648648,0.6991869918699187,0.7681319728,0.7660129252000001,0.7616523810000001,FS
21,2n0aD,0.2874983730370784,0.48067042567560264,5,0.13333333333333333,1.0,1.0,0.5337085714,0.5148385714,0.5045878571,FS
22,2nntA,0.47921769719950885,0.7498514127469997,41,0.43013100436681223,0.5583756345177665,0.8727272727272727,0.8296300000000001,0.8257125,0.8196275,FS
23,2ougC,0.4165908674458089,0.665139705952237,66,0.9008620689655172,0.35406698564593303,0.7837837837837838,0.9254086420000001,0.9175092593,0.9165283951000001,FS
24,3ejhA,0.4769670921576908,0.6290457204549689,18,0.21974148061104584,0.3582887700534759,0.582089552238806,0.9407795699,0.9077483871,0.8778612903,FS
25,3ewsB,0.24796331126061322,0.46568412252567737,17,0.9343434343434344,0.9621621621621622,0.8258426966292135,0.8736817978,0.8733986517000001,0.7673611236,FS
26,3gmhL,0.4404694087129015,0.6981323328305131,48,0.44086021505376344,0.27439024390243905,0.7777777777777778,0.9235975845000001,0.7620579710000001,0.7420951691000001,FS
27,3hdeA,0.29961077742113096,0.580997357737151,18,0.041928721174004195,0.825,0.8787878787878788,0.9689290909,0.751489697,0.7462224242000001,FS
28,3ifaA,0.5903750330055094,0.7276319407457146,8,0.012775842044134728,0.5454545454545454,0.6666666666666666,0.9293029586,0.6582650888,0.6446926036,FS
29,3j7wB,0.4050751975909318,0.6594018562613576,38,0.2723404255319149,0.5,0.875,0.8402556522,0.8173617391,0.8166507246,FS
30,3j9cA,0.48977003698631216,0.7058751787656321,35,0.3333333333333333,0.75,1.0,0.7720517794,0.7537427046,0.740969573,FS
